epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
78,784.908,0.00363,0.8725,1,0.73858,0.0084754,0.0084754,0.0084754
79,794.775,0.00295,0.86022,1,0.7469,0.0084556,0.0084556,0.0084556
80,804.598,0.00487,0.86636,1,0.74252,0.0084358,0.0084358,0.0084358
81,814.485,0.00659,0.85714,1,0.77846,0.008416,0.008416,0.008416
82,824.294,0.00364,0.87404,1,0.68834,0.0083962,0.0083962,0.0083962
83,834.317,0.00227,0.88018,1,0.71791,0.0083764,0.0083764,0.0083764
84,844.417,0.00152,0.8679,1,0.82455,0.0083566,0.0083566,0.0083566
85,854.462,0.00804,0.87404,1,0.69001,0.0083368,0.0083368,0.0083368
86,864.523,0.00294,0.87865,1,0.67283,0.008317,0.008317,0.008317
87,874.577,0.00166,0.86943,1,0.73102,0.0082972,0.0082972,0.0082972
88,884.574,0.00161,0.8679,1,0.73307,0.0082774,0.0082774,0.0082774
89,894.583,0.00759,0.87097,1,0.86439,0.0082576,0.0082576,0.0082576
90,904.661,0.03102,0.86636,1,0.75321,0.0082378,0.0082378,0.0082378
91,914.455,0.00429,0.87558,1,0.77318,0.008218,0.008218,0.008218
92,924.186,0.00183,0.88479,1,0.76601,0.0081982,0.0081982,0.0081982
93,933.933,0.00199,0.88479,1,0.71436,0.0081784,0.0081784,0.0081784
94,943.644,0.00286,0.87865,1,0.71432,0.0081586,0.0081586,0.0081586
95,953.351,0.00508,0.88633,1,0.69083,0.0081388,0.0081388,0.0081388
96,963.081,0.00229,0.89401,1,0.62903,0.008119,0.008119,0.008119
97,972.969,0.00253,0.88326,1,0.71686,0.0080992,0.0080992,0.0080992
98,982.673,0.02976,0.89247,1,0.63177,0.0080794,0.0080794,0.0080794
99,992.396,0.00209,0.88018,1,0.65034,0.0080596,0.0080596,0.0080596
100,1002.1,0.00075,0.8894,1,0.65023,0.0080398,0.0080398,0.0080398
101,1011.8,0.02253,0.88786,1,0.69093,0.00802,0.00802,0.00802
102,1021.58,0.01511,0.88172,1,0.68912,0.0080002,0.0080002,0.0080002
103,1031.29,0.00077,0.88172,1,0.71212,0.0079804,0.0079804,0.0079804
104,1041.01,0.00103,0.88326,1,0.72123,0.0079606,0.0079606,0.0079606
105,1050.71,0.00125,0.88018,1,0.72775,0.0079408,0.0079408,0.0079408
106,1060.46,0.00136,0.89094,1,0.74962,0.007921,0.007921,0.007921
107,1070.41,0.01885,0.8894,1,0.68606,0.0079012,0.0079012,0.0079012
108,1080.31,0.00152,0.88172,1,0.72933,0.0078814,0.0078814,0.0078814
109,1090.27,0.00132,0.8725,1,0.83136,0.0078616,0.0078616,0.0078616
110,1100.33,0.00125,0.88172,1,0.78599,0.0078418,0.0078418,0.0078418
111,1110.13,0.00758,0.87558,1,0.72558,0.007822,0.007822,0.007822
112,1120.13,0.00233,0.89862,1,0.67681,0.0078022,0.0078022,0.0078022
113,1130.23,0.00257,0.88633,1,0.66133,0.0077824,0.0077824,0.0077824
114,1140.4,0.0293,0.88018,1,0.74035,0.0077626,0.0077626,0.0077626
115,1150.44,0.00073,0.88172,1,0.66595,0.0077428,0.0077428,0.0077428
116,1160.53,0.00233,0.88326,1,0.65313,0.007723,0.007723,0.007723
117,1170.59,0.01297,0.88018,1,0.73081,0.0077032,0.0077032,0.0077032
118,1180.62,0.00333,0.88633,1,0.66948,0.0076834,0.0076834,0.0076834
119,1190.7,0.00223,0.89094,1,0.70068,0.0076636,0.0076636,0.0076636
120,1200.78,0.00235,0.87558,1,0.72845,0.0076438,0.0076438,0.0076438
121,1210.85,0.00142,0.8725,1,0.73476,0.007624,0.007624,0.007624
122,1220.89,0.00047,0.88786,1,0.73896,0.0076042,0.0076042,0.0076042
123,1230.93,0.00031,0.88479,1,0.67562,0.0075844,0.0075844,0.0075844
124,1240.95,0.0002,0.88018,1,0.73336,0.0075646,0.0075646,0.0075646
125,1250.97,0.0007,0.88326,1,0.70241,0.0075448,0.0075448,0.0075448
126,1261.08,0.00033,0.87558,1,0.72715,0.007525,0.007525,0.007525
127,1271.12,0.00026,0.87711,1,0.69863,0.0075052,0.0075052,0.0075052
128,1281.19,0.00026,0.88479,1,0.66724,0.0074854,0.0074854,0.0074854
129,1291.28,0.00013,0.89094,1,0.64999,0.0074656,0.0074656,0.0074656
130,1301.35,6e-05,0.89247,1,0.61992,0.0074458,0.0074458,0.0074458
131,1311.41,0.01505,0.89247,1,0.62519,0.007426,0.007426,0.007426
132,1321.53,0.00631,0.8894,1,0.68802,0.0074062,0.0074062,0.0074062
133,1331.61,0.0003,0.87711,1,0.69129,0.0073864,0.0073864,0.0073864
134,1341.67,0.00022,0.89247,1,0.67358,0.0073666,0.0073666,0.0073666
135,1351.74,0.00061,0.87558,1,0.72595,0.0073468,0.0073468,0.0073468
136,1361.82,0.00243,0.88633,1,0.69137,0.007327,0.007327,0.007327
137,1371.96,0.00092,0.89401,1,0.60049,0.0073072,0.0073072,0.0073072
138,1382.03,0.01601,0.89247,1,0.65088,0.0072874,0.0072874,0.0072874
139,1391.97,0.00027,0.8894,1,0.65354,0.0072676,0.0072676,0.0072676
140,1401.77,0.00028,0.88326,1,0.6431,0.0072478,0.0072478,0.0072478
141,1411.5,0.00016,0.88633,1,0.67131,0.007228,0.007228,0.007228
142,1421.32,0.00061,0.88172,1,0.65972,0.0072082,0.0072082,0.0072082
143,1431.1,0.00036,0.88786,1,0.67242,0.0071884,0.0071884,0.0071884
144,1440.91,0.00014,0.88786,1,0.71297,0.0071686,0.0071686,0.0071686
145,1450.67,0.0012,0.8894,1,0.71299,0.0071488,0.0071488,0.0071488
146,1460.4,0.00033,0.88172,1,0.77366,0.007129,0.007129,0.007129
147,1470.24,0.00292,0.87865,1,0.68077,0.0071092,0.0071092,0.0071092
148,1480.09,0.00206,0.88018,1,0.74397,0.0070894,0.0070894,0.0070894
149,1489.93,0.00104,0.88172,1,0.75136,0.0070696,0.0070696,0.0070696
150,1500.02,0.00282,0.88633,1,0.67939,0.0070498,0.0070498,0.0070498
151,1510.11,0.00298,0.87711,1,0.67802,0.00703,0.00703,0.00703
152,1520.09,0.00102,0.88172,1,0.71006,0.0070102,0.0070102,0.0070102
153,1529.98,0.0009,0.87865,1,0.66461,0.0069904,0.0069904,0.0069904
154,1539.98,0.00192,0.88018,1,0.71865,0.0069706,0.0069706,0.0069706
155,1549.89,0.00027,0.87097,1,0.72328,0.0069508,0.0069508,0.0069508
156,1559.69,0.00141,0.8725,1,0.77452,0.006931,0.006931,0.006931
157,1569.55,0.00101,0.87097,1,0.78402,0.0069112,0.0069112,0.0069112
158,1579.43,0.00095,0.8725,1,0.79313,0.0068914,0.0068914,0.0068914
159,1589.39,0.00133,0.86943,1,0.75128,0.0068716,0.0068716,0.0068716
160,1599.49,0.00048,0.87711,1,0.73832,0.0068518,0.0068518,0.0068518
161,1609.52,0.00257,0.87558,1,0.74846,0.006832,0.006832,0.006832
162,1619.59,0.00409,0.8725,1,0.72351,0.0068122,0.0068122,0.0068122
163,1629.65,0.00022,0.87404,1,0.7207,0.0067924,0.0067924,0.0067924
164,1639.74,0.00045,0.8725,1,0.74327,0.0067726,0.0067726,0.0067726
165,1649.73,0.00104,0.8679,1,0.74138,0.0067528,0.0067528,0.0067528
166,1659.69,0.00049,0.86943,1,0.71973,0.006733,0.006733,0.006733
167,1669.66,0.0042,0.87558,1,0.69203,0.0067132,0.0067132,0.0067132
168,1679.6,0.0038,0.87558,1,0.67202,0.0066934,0.0066934,0.0066934
169,1689.54,0.01137,0.87558,1,0.7104,0.0066736,0.0066736,0.0066736
170,1699.46,0.01033,0.87558,1,0.61642,0.0066538,0.0066538,0.0066538
171,1709.43,0.00482,0.8725,1,0.64392,0.006634,0.006634,0.006634
172,1719.38,0.00058,0.86329,1,0.69347,0.0066142,0.0066142,0.0066142
173,1729.31,0.01215,0.86943,1,0.69449,0.0065944,0.0065944,0.0065944
174,1739.23,0.00028,0.88018,1,0.70555,0.0065746,0.0065746,0.0065746
175,1749.18,0.00041,0.87711,1,0.66933,0.0065548,0.0065548,0.0065548
176,1759.15,0.00117,0.87558,1,0.65876,0.006535,0.006535,0.006535
177,1769.16,0.00054,0.86329,1,0.76481,0.0065152,0.0065152,0.0065152
178,1779.16,0.00025,0.86636,1,0.71937,0.0064954,0.0064954,0.0064954
179,1789.16,0.00015,0.86943,1,0.7147,0.0064756,0.0064756,0.0064756
180,1799.16,0.00014,0.8679,1,0.76744,0.0064558,0.0064558,0.0064558
181,1809.17,0.00034,0.86482,1,0.70131,0.006436,0.006436,0.006436
182,1819.19,0.0001,0.8679,1,0.72775,0.0064162,0.0064162,0.0064162
